,account length,international plan,voice mail plan,number vmail messages,total intl minutes,total intl calls,total intl charge,customer service calls,churn,avg_minutes,avg_calls,avg_call_duration,avg_charge,%_srv_intency,%_intl_srv_intensity
707,84,no,yes,42,7.6,7,2.05,3,False,216.53,95.67,2.26,19.61,3.14,42.86
708,83,yes,yes,32,10.6,6,2.86,2,False,149.83,106.0,1.41,12.75,1.89,33.33
709,139,no,no,0,9.7,3,2.62,2,False,184.5,85.33,2.16,18.8,2.34,66.67
710,69,no,no,0,12.5,4,3.38,3,False,223.97,99.0,2.26,21.11,3.03,75.0
711,129,no,no,0,11.4,8,3.08,4,False,218.03,99.33,2.2,19.77,4.03,50.0
712,106,no,no,0,0.0,0,0.0,2,False,141.8,94.33,1.5,12.19,2.12,inf
713,158,no,no,0,6.9,2,1.86,2,False,212.13,111.67,1.9,21.54,1.79,100.0
714,168,no,yes,22,7.3,5,1.97,2,False,187.37,85.33,2.2,18.58,2.34,40.0
715,115,yes,no,0,15.3,6,4.13,1,True,214.7,106.67,2.01,23.31,0.94,16.67
716,57,yes,yes,30,11.4,4,3.08,2,False,232.83,113.33,2.05,22.85,1.76,50.0
717,67,no,no,0,7.2,6,1.94,1,False,203.2,95.0,2.14,20.85,1.05,16.67
718,127,no,no,0,9.3,3,2.51,1,False,178.73,116.67,1.53,17.9,0.86,33.33
719,78,no,no,0,11.7,5,3.16,2,False,213.77,95.33,2.24,20.14,2.1,40.0
720,100,no,yes,38,7.4,2,2.0,0,False,194.5,89.33,2.18,18.31,0.0,0.0
721,103,no,yes,36,10.9,5,2.94,6,True,141.07,94.0,1.5,12.24,6.38,120.0
722,113,no,no,0,13.5,3,3.65,1,False,171.47,112.67,1.52,19.28,0.89,33.33
723,78,no,no,0,14.0,11,3.78,3,False,193.9,98.0,1.98,17.62,3.06,27.27
724,129,no,yes,36,16.4,5,4.43,1,False,195.43,101.33,1.93,19.19,0.99,20.0
725,57,no,no,0,11.9,3,3.21,2,False,193.73,103.67,1.87,17.61,1.93,66.67
726,82,no,no,0,7.8,5,2.11,1,False,200.7,103.33,1.94,17.3,0.97,20.0
727,64,no,no,0,9.2,2,2.48,1,False,212.07,107.33,1.98,21.44,0.93,50.0
728,86,no,yes,39,12.7,5,3.43,2,False,210.1,108.0,1.95,23.19,1.85,40.0
729,151,no,yes,26,13.4,5,3.62,0,False,198.03,111.0,1.78,19.44,0.0,0.0
730,94,no,no,0,11.5,3,3.11,3,True,231.8,87.0,2.66,24.43,3.45,100.0
731,90,no,no,0,8.0,1,2.16,2,False,242.0,109.33,2.21,23.42,1.83,200.0
732,48,no,no,0,7.2,5,1.94,2,False,210.33,97.0,2.17,23.76,2.06,40.0
733,85,no,yes,37,9.5,8,2.57,2,False,191.27,96.33,1.99,19.94,2.08,25.0
734,93,yes,yes,20,12.1,4,3.27,1,False,177.53,110.33,1.61,18.07,0.91,25.0
735,169,yes,no,0,6.5,6,1.76,3,False,177.17,93.0,1.91,13.01,3.23,50.0
736,68,no,no,0,11.0,9,2.97,5,True,168.93,86.33,1.96,16.43,5.79,55.56
737,91,yes,no,0,16.7,3,4.51,2,True,181.5,114.0,1.59,16.55,1.75,66.67
738,68,no,no,0,11.4,3,3.08,1,False,203.53,97.33,2.09,19.02,1.03,33.33
739,101,no,no,0,8.8,8,2.38,1,False,201.03,95.33,2.11,19.77,1.05,12.5
740,67,no,yes,20,9.4,2,2.54,1,False,193.97,71.0,2.73,20.86,1.41,50.0
741,66,no,no,0,11.5,3,3.11,0,False,147.4,104.67,1.41,11.76,0.0,0.0
742,116,no,yes,17,11.4,3,3.08,5,False,227.37,113.67,2.0,21.5,4.4,166.67
743,158,no,no,0,10.4,6,2.81,1,False,186.97,98.67,1.89,19.01,1.01,16.67
744,78,no,no,0,9.1,5,2.46,1,False,212.2,98.67,2.15,20.76,1.01,20.0
745,119,no,yes,26,6.6,8,1.78,1,False,184.67,99.67,1.85,18.37,1.0,12.5
746,120,no,no,0,6.4,2,1.73,1,False,167.5,112.0,1.5,15.4,0.89,50.0
747,155,no,no,0,7.8,1,2.11,1,False,202.37,113.67,1.78,19.41,0.88,100.0
748,106,no,no,0,8.7,5,2.35,1,False,204.17,109.33,1.87,21.99,0.91,20.0
749,87,yes,no,0,11.0,6,2.97,1,False,166.3,108.67,1.53,17.1,0.92,16.67
750,146,no,yes,32,8.2,4,2.21,3,False,162.57,92.67,1.75,16.21,3.24,75.0
751,101,no,yes,29,10.1,6,2.73,0,False,183.07,97.0,1.89,15.77,0.0,0.0
752,22,no,yes,23,12.7,4,3.43,3,False,158.5,85.0,1.86,16.92,3.53,75.0
753,90,no,no,0,11.0,5,2.97,2,False,135.63,105.67,1.28,12.51,1.89,40.0
754,41,no,no,0,9.6,4,2.59,1,False,195.17,104.67,1.86,19.15,0.96,25.0
755,69,no,no,0,11.4,4,3.08,2,False,170.27,90.33,1.88,17.87,2.21,50.0
756,33,no,no,0,9.8,14,2.65,2,False,200.8,92.67,2.17,21.14,2.16,14.29
757,112,no,no,0,13.1,5,3.54,1,False,181.23,99.0,1.83,16.23,1.01,20.0
758,108,no,yes,30,9.8,6,2.65,2,False,224.87,102.33,2.2,24.58,1.95,33.33
759,136,no,yes,21,9.5,4,2.57,2,False,227.07,101.67,2.23,20.11,1.97,50.0
760,128,no,no,0,10.1,5,2.73,1,False,221.5,82.33,2.69,21.38,1.21,20.0
761,27,no,no,0,8.4,3,2.27,2,False,191.4,106.33,1.8,20.02,1.88,66.67
762,161,yes,no,0,1.3,6,0.35,1,False,213.83,110.67,1.93,21.09,0.9,16.67
763,33,no,yes,35,15.0,5,4.05,0,False,255.2,98.67,2.59,22.75,0.0,0.0
764,120,no,yes,31,11.4,4,3.08,0,False,203.33,85.0,2.39,18.47,0.0,0.0
765,113,no,no,0,8.7,6,2.35,2,False,184.9,105.33,1.76,18.91,1.9,33.33
766,122,yes,no,0,11.0,2,2.97,0,True,218.83,96.0,2.28,22.71,0.0,0.0
767,148,no,yes,26,15.2,4,4.1,2,False,199.63,126.33,1.58,20.76,1.58,50.0
768,74,no,no,0,9.7,2,2.62,3,False,203.9,90.67,2.25,21.77,3.31,150.0
769,106,no,no,0,11.0,3,2.97,1,False,194.07,100.67,1.93,19.87,0.99,33.33
770,179,no,no,0,13.3,4,3.59,1,False,192.13,89.67,2.14,18.31,1.12,25.0
771,149,yes,yes,28,8.8,3,2.38,5,True,146.33,92.0,1.59,14.1,5.43,166.67
772,77,no,no,0,9.2,7,2.48,0,False,203.53,99.33,2.05,19.82,0.0,0.0
773,127,yes,no,0,7.7,2,2.08,1,True,175.67,116.0,1.51,17.51,0.86,50.0
774,80,no,no,0,10.6,4,2.86,1,False,196.1,98.67,1.99,18.19,1.01,25.0
775,106,no,no,0,10.7,4,2.89,1,False,189.6,85.67,2.21,18.22,1.17,25.0
776,61,no,yes,20,10.5,4,2.84,0,False,222.5,106.67,2.09,22.77,0.0,0.0
777,135,yes,yes,24,5.8,4,1.57,2,False,192.33,81.0,2.37,16.84,2.47,50.0
778,115,no,yes,26,13.6,5,3.67,6,False,204.47,85.0,2.41,19.2,7.06,120.0
779,167,yes,no,0,10.1,4,2.73,2,False,210.3,97.0,2.17,21.83,2.06,50.0
780,107,yes,no,0,11.0,9,2.97,2,False,203.7,79.67,2.56,23.01,2.51,22.22
781,112,yes,no,0,10.7,4,2.89,1,False,165.6,128.67,1.29,16.88,0.78,25.0
782,35,no,yes,27,9.4,4,2.54,1,False,224.2,85.33,2.63,22.05,1.17,25.0
783,103,yes,no,0,9.4,4,2.54,3,False,171.13,89.33,1.92,12.59,3.36,75.0
784,107,no,yes,22,11.2,9,3.02,1,False,221.4,113.67,1.95,23.59,0.88,11.11
785,69,no,no,0,10.7,5,2.89,3,False,211.5,70.0,3.02,22.54,4.29,60.0
786,85,no,no,0,11.3,3,3.05,0,False,201.57,87.0,2.32,20.41,0.0,0.0
787,24,no,no,0,11.1,6,3.0,2,True,218.97,97.67,2.24,23.7,2.05,33.33
788,90,no,no,0,11.8,2,3.19,2,False,155.47,97.33,1.6,17.52,2.05,100.0
789,137,no,no,0,10.5,3,2.84,3,False,167.73,84.67,1.98,15.13,3.54,100.0
790,92,yes,yes,45,7.5,3,2.03,0,False,191.13,89.0,2.15,22.95,0.0,0.0
791,38,no,no,0,14.1,3,3.81,2,False,197.03,79.67,2.47,18.43,2.51,66.67
792,69,yes,yes,33,8.2,2,2.21,1,True,230.1,95.0,2.42,25.05,1.05,50.0
793,45,no,no,0,9.0,3,2.43,2,False,190.6,111.33,1.71,16.2,1.8,66.67
794,73,no,no,0,15.1,2,4.08,1,False,198.17,105.33,1.88,19.92,0.95,50.0
795,92,no,no,0,10.8,4,2.92,1,False,208.4,98.0,2.13,21.18,1.02,25.0
796,113,no,yes,32,8.4,2,2.27,1,False,158.9,112.33,1.41,16.39,0.89,50.0
797,68,yes,no,0,14.5,7,3.92,1,True,188.8,124.0,1.52,17.61,0.81,14.29
798,135,no,yes,22,14.6,5,3.94,2,False,197.07,114.33,1.72,20.54,1.75,40.0
799,100,no,yes,26,15.9,5,4.29,1,False,168.33,121.67,1.38,15.82,0.82,20.0
800,96,no,yes,27,11.3,2,3.05,1,False,220.53,98.0,2.25,23.76,1.02,50.0
801,108,no,no,0,9.4,5,2.54,1,False,209.57,110.33,1.9,22.38,0.91,20.0
802,84,no,no,0,6.5,4,1.76,0,False,252.37,95.33,2.65,23.57,0.0,0.0
803,134,no,no,0,12.6,3,3.4,1,False,250.97,87.0,2.88,23.36,1.15,33.33
804,72,no,no,0,9.8,4,2.65,0,False,227.7,80.0,2.85,23.71,0.0,0.0
805,83,no,no,0,6.8,4,1.84,0,False,168.5,93.33,1.81,18.7,0.0,0.0
806,137,no,no,0,10.2,5,2.75,0,False,155.73,113.0,1.38,16.36,0.0,0.0
807,56,no,yes,30,12.1,3,3.27,1,False,164.6,105.33,1.56,15.0,0.95,33.33
808,61,yes,yes,16,11.3,3,3.05,0,False,177.93,76.33,2.33,17.22,0.0,0.0
809,171,no,yes,17,5.8,3,1.57,1,False,209.27,98.67,2.12,20.4,1.01,33.33
810,123,no,no,0,12.1,4,3.27,1,False,194.1,113.33,1.71,20.04,0.88,25.0
811,58,no,no,0,9.9,6,2.67,0,False,173.37,114.0,1.52,19.01,0.0,0.0
812,156,no,no,0,13.1,4,3.54,1,False,138.7,86.0,1.61,12.77,1.16,25.0
813,166,no,no,0,15.3,5,4.13,0,False,213.7,99.67,2.14,20.55,0.0,0.0
814,75,no,yes,41,12.4,4,3.35,1,False,168.67,97.67,1.73,15.76,1.02,25.0
815,75,no,no,0,5.7,3,1.54,2,True,256.5,96.0,2.67,26.91,2.08,66.67
816,83,no,no,0,12.1,5,3.27,1,False,215.7,97.67,2.21,21.97,1.02,20.0
817,243,no,no,0,6.6,6,1.78,2,False,174.47,91.0,1.92,14.01,2.2,33.33
818,153,no,no,0,15.1,3,4.08,1,False,199.8,108.0,1.85,19.48,0.93,33.33
819,150,no,no,0,13.1,3,3.54,1,False,194.57,110.33,1.76,17.55,0.91,33.33
820,92,no,yes,16,12.7,3,3.43,2,False,148.5,109.67,1.35,15.37,1.82,66.67
821,80,no,no,0,13.1,5,3.54,0,False,113.1,95.0,1.19,10.08,0.0,0.0
822,134,no,no,0,11.7,4,3.16,1,False,189.47,93.0,2.04,17.99,1.08,25.0
823,77,no,yes,24,10.1,6,2.73,1,False,149.2,76.67,1.95,14.59,1.3,16.67
824,147,no,no,0,11.3,3,3.05,2,False,163.77,101.67,1.61,17.86,1.97,66.67
825,74,no,no,0,11.6,6,3.13,1,False,188.67,103.0,1.83,18.48,0.97,16.67
826,138,yes,no,0,9.4,9,2.54,1,False,190.47,102.0,1.87,18.53,0.98,11.11
827,143,no,no,0,12.2,4,3.29,0,False,209.93,117.67,1.78,18.25,0.0,0.0
828,64,no,no,0,5.5,2,1.49,2,False,212.1,116.0,1.83,19.95,1.72,100.0
829,120,no,no,0,9.9,3,2.67,2,False,182.9,70.0,2.61,19.58,2.86,66.67
830,121,yes,no,0,13.4,1,3.62,3,True,167.57,110.0,1.52,15.78,2.73,300.0
831,88,no,no,0,11.8,2,3.19,2,False,219.47,92.67,2.37,21.19,2.16,100.0
832,87,no,no,0,9.4,4,2.54,2,True,237.77,109.0,2.18,26.87,1.83,50.0
833,100,no,no,0,10.2,3,2.75,0,False,190.07,106.0,1.79,20.44,0.0,0.0
834,104,no,no,0,9.4,3,2.54,3,False,139.43,94.67,1.47,11.0,3.17,100.0
835,27,no,no,0,9.9,3,2.67,1,False,115.7,87.67,1.32,11.02,1.14,33.33
836,81,no,yes,31,9.7,4,2.62,0,False,201.53,105.67,1.91,20.84,0.0,0.0
837,64,yes,yes,33,8.1,13,2.19,0,False,179.17,102.0,1.76,15.53,0.0,0.0
838,107,no,yes,28,11.9,8,3.21,1,False,244.1,113.33,2.15,23.46,0.88,12.5
839,88,no,yes,17,16.1,5,4.35,1,False,209.97,88.0,2.39,21.56,1.14,20.0
840,111,no,no,0,9.0,6,2.43,3,False,198.37,114.0,1.74,16.67,2.63,50.0
841,77,no,no,0,10.3,2,2.78,5,False,183.33,103.33,1.77,20.22,4.84,250.0
842,67,yes,no,0,11.4,11,3.08,2,False,150.33,92.0,1.63,14.94,2.17,18.18
843,102,no,no,0,15.8,6,4.27,1,False,173.9,100.67,1.73,18.91,0.99,16.67
844,146,no,yes,19,14.6,6,3.94,1,False,184.93,84.0,2.2,17.85,1.19,16.67
845,144,no,yes,51,10.0,4,2.7,1,False,224.07,97.33,2.3,24.47,1.03,25.0
846,96,no,no,0,10.3,4,2.78,1,True,222.37,110.33,2.02,20.08,0.91,25.0
847,70,no,yes,31,10.3,4,2.78,1,False,191.67,92.67,2.07,16.49,1.08,25.0
848,149,no,no,0,9.1,9,2.46,0,False,212.47,99.0,2.15,22.02,0.0,0.0
849,129,no,no,0,9.2,2,2.48,2,False,191.5,99.33,1.93,20.41,2.01,100.0
850,166,no,no,0,10.9,5,2.94,0,False,191.1,112.67,1.7,20.73,0.0,0.0
851,136,yes,no,0,11.0,4,2.97,3,True,161.13,89.67,1.8,18.39,3.35,75.0
852,149,no,no,0,9.6,3,2.59,3,False,239.37,88.0,2.72,23.49,3.41,100.0
853,70,no,no,0,7.6,6,2.05,3,False,210.27,99.67,2.11,18.22,3.01,50.0
854,120,no,yes,24,9.7,13,2.62,2,False,232.67,98.33,2.37,22.77,2.03,15.38
855,66,no,no,0,6.2,7,1.67,2,False,207.93,125.33,1.66,22.44,1.6,28.57
856,104,no,no,0,12.7,2,3.43,1,False,173.13,114.33,1.51,17.05,0.87,50.0
857,160,no,no,0,9.2,4,2.48,1,False,212.03,100.0,2.12,19.5,1.0,25.0
858,129,no,yes,37,11.7,8,3.16,1,False,185.13,92.67,2.0,19.08,1.08,12.5
859,93,no,no,0,11.3,3,3.05,3,True,251.2,92.67,2.71,25.44,3.24,100.0
860,169,no,no,0,9.9,6,2.67,2,False,194.33,111.0,1.75,18.55,1.8,33.33
861,58,no,no,0,14.9,3,4.02,1,False,185.13,119.33,1.55,17.18,0.84,33.33
862,75,no,yes,38,13.1,3,3.54,3,False,218.7,120.0,1.82,18.61,2.5,100.0
863,45,no,no,0,12.4,13,3.35,1,False,192.7,96.67,1.99,19.36,1.03,7.69
864,155,no,no,0,8.9,4,2.4,3,False,143.1,106.33,1.35,15.78,2.82,75.0
865,52,no,no,0,9.9,9,2.67,4,False,178.57,105.0,1.7,19.06,3.81,44.44
866,119,no,yes,27,11.1,3,3.0,0,False,211.6,113.67,1.86,22.27,0.0,0.0
867,86,no,no,0,8.2,5,2.21,1,False,168.73,86.0,1.96,15.54,1.16,20.0
868,42,no,no,0,4.0,7,1.08,0,False,193.67,105.67,1.83,20.12,0.0,0.0
869,127,yes,no,0,7.4,4,2.0,2,False,213.43,112.33,1.9,19.94,1.78,50.0
870,123,no,no,0,14.9,5,4.02,0,False,204.87,111.0,1.85,16.95,0.0,0.0
871,98,no,no,0,11.1,6,3.0,4,True,248.83,113.0,2.2,25.04,3.54,66.67
872,149,no,yes,43,10.9,3,2.94,1,False,207.6,93.67,2.22,20.28,1.07,33.33
873,160,no,no,0,9.3,1,2.51,1,False,236.8,101.0,2.34,20.75,0.99,100.0
874,103,no,no,0,10.4,3,2.81,5,False,182.77,105.0,1.74,18.56,4.76,166.67
875,132,no,yes,15,9.1,4,2.46,1,False,182.93,108.0,1.69,17.95,0.93,25.0
876,137,no,no,0,7.5,2,2.03,1,False,198.03,103.0,1.92,18.51,0.97,50.0
877,129,yes,no,0,5.9,4,1.59,1,False,194.43,103.0,1.89,22.62,0.97,25.0
878,62,no,no,0,0.0,0,0.0,1,False,173.17,82.67,2.09,21.64,1.21,inf
879,122,no,yes,33,11.8,8,3.19,4,False,220.37,103.33,2.13,24.14,3.87,50.0
880,32,no,no,0,10.2,7,2.75,1,False,186.7,82.67,2.26,18.01,1.21,14.29
881,86,no,no,0,6.7,8,1.81,3,False,205.43,107.0,1.92,17.12,2.8,37.5
882,130,no,no,0,7.2,3,1.94,1,False,189.33,121.33,1.56,19.18,0.82,33.33
883,42,no,no,0,8.0,12,2.16,1,False,149.07,104.67,1.42,16.22,0.96,8.33
884,73,no,no,0,15.0,7,4.05,2,False,184.03,89.0,2.07,20.81,2.25,28.57
885,66,no,yes,26,5.4,3,1.46,2,False,229.63,112.67,2.04,24.2,1.78,66.67
886,103,no,yes,31,8.9,3,2.4,0,False,164.27,108.67,1.51,14.4,0.0,0.0
887,128,no,no,0,7.6,7,2.05,1,False,231.2,81.0,2.85,20.55,1.23,14.29
888,104,no,no,0,5.5,4,1.49,2,False,217.43,100.67,2.16,20.6,1.99,50.0
889,103,no,no,0,12.4,5,3.35,0,False,140.07,108.67,1.29,15.14,0.0,0.0
890,124,no,no,0,12.0,2,3.24,0,False,197.13,99.0,1.99,19.42,0.0,0.0
891,87,no,no,0,6.2,5,1.67,1,False,158.97,112.33,1.42,13.89,0.89,20.0
892,109,no,yes,27,12.3,4,3.32,1,True,195.13,91.33,2.14,18.68,1.09,25.0
893,167,yes,no,0,10.7,3,2.89,2,False,160.77,102.0,1.58,18.25,1.96,66.67
894,97,no,no,0,11.9,3,3.21,4,True,161.57,86.67,1.86,14.57,4.62,133.33
895,106,no,no,0,8.5,3,2.3,2,False,187.5,104.0,1.8,18.12,1.92,66.67
896,125,no,no,0,14.4,7,3.89,2,False,162.8,118.67,1.37,14.68,1.69,28.57
897,108,no,yes,35,15.5,7,4.19,0,False,203.97,106.67,1.91,20.85,0.0,0.0
898,125,no,no,0,8.0,2,2.16,1,False,204.6,111.67,1.83,17.84,0.9,50.0
899,89,no,yes,32,8.7,7,2.35,1,False,227.97,103.0,2.21,22.33,0.97,14.29
900,72,yes,yes,29,5.5,6,1.49,0,False,166.33,97.67,1.7,15.16,0.0,0.0
901,23,no,no,0,11.3,3,3.05,2,True,238.1,126.67,1.88,27.47,1.58,66.67
902,149,no,no,0,8.2,6,2.21,7,False,197.9,99.67,1.99,18.76,7.02,116.67
903,73,no,no,0,5.9,8,1.59,0,False,189.63,93.33,2.03,20.08,0.0,0.0
904,61,no,no,0,9.0,3,2.43,1,True,235.07,106.67,2.2,24.22,0.94,33.33
905,161,no,no,0,13.4,4,3.62,4,True,155.87,102.33,1.52,15.96,3.91,100.0
906,73,no,no,0,13.5,3,3.65,0,False,179.33,96.0,1.87,19.46,0.0,0.0
907,118,no,yes,24,16.9,2,4.56,1,False,157.73,76.0,2.08,13.48,1.32,50.0
908,23,no,no,0,15.0,4,4.05,6,False,192.13,90.0,2.13,18.79,6.67,150.0
909,127,no,yes,25,5.1,6,1.38,0,False,170.13,102.67,1.66,13.26,0.0,0.0
910,42,no,yes,32,8.1,5,2.19,0,False,177.33,103.0,1.72,17.18,0.0,0.0
911,118,no,no,0,14.4,11,3.89,5,True,264.27,119.0,2.22,27.27,4.2,45.45
912,45,no,no,0,10.6,3,2.86,2,False,147.73,90.0,1.64,14.91,2.22,66.67
913,50,no,yes,24,10.6,4,2.86,1,False,272.2,104.67,2.6,25.04,0.96,25.0
914,179,no,no,0,10.5,4,2.84,0,True,280.43,116.33,2.41,28.43,0.0,0.0
915,152,no,no,0,7.5,3,2.03,2,False,147.1,111.0,1.33,12.72,1.8,66.67
916,105,no,no,0,13.2,5,3.56,2,False,204.2,104.0,1.96,17.23,1.92,40.0
917,72,no,no,0,8.3,6,2.24,0,False,173.53,92.33,1.88,13.9,0.0,0.0
918,52,no,no,0,5.2,2,1.4,1,False,258.57,101.67,2.54,23.53,0.98,50.0
919,125,no,no,0,11.0,4,2.97,1,False,174.2,106.67,1.63,18.03,0.94,25.0
920,143,no,no,0,9.2,2,2.48,1,False,148.6,88.67,1.68,13.53,1.13,50.0
921,65,no,no,0,4.4,14,1.19,1,False,177.6,74.67,2.38,15.55,1.34,7.14
922,80,no,no,0,9.3,5,2.51,1,False,248.83,92.67,2.69,23.09,1.08,20.0
923,1,no,no,0,13.8,3,3.73,1,False,158.67,84.0,1.89,14.67,1.19,33.33
924,60,no,no,0,7.9,4,2.13,1,False,181.77,107.33,1.69,16.57,0.93,25.0
925,43,no,no,0,10.8,2,2.92,1,False,120.37,105.33,1.14,10.0,0.95,50.0
926,143,no,no,0,14.0,6,3.78,0,False,164.93,99.0,1.67,17.55,0.0,0.0
927,81,no,yes,24,11.4,5,3.08,0,False,155.13,100.33,1.55,15.02,0.0,0.0
928,205,no,yes,24,7.8,5,2.11,2,False,170.5,100.33,1.7,17.07,1.99,40.0
929,24,no,no,0,6.6,5,1.78,1,False,200.53,107.0,1.87,21.04,0.93,20.0
930,74,no,no,0,9.8,4,2.65,0,False,210.2,108.33,1.94,18.2,0.0,0.0
931,77,no,no,0,12.0,2,3.24,1,False,166.63,97.0,1.72,12.93,1.03,50.0
932,74,no,no,0,10.0,2,2.7,1,False,220.57,103.33,2.13,22.4,0.97,50.0
933,74,yes,no,0,14.1,4,3.81,1,True,180.3,114.0,1.58,16.12,0.88,25.0
934,200,no,no,0,11.2,2,3.02,1,False,146.33,105.0,1.39,13.7,0.95,50.0
935,86,no,no,0,13.0,3,3.51,4,False,234.97,95.67,2.46,22.98,4.18,133.33
936,91,no,yes,37,9.2,4,2.48,0,False,224.53,105.33,2.13,19.98,0.0,0.0
937,76,no,no,0,6.7,2,1.81,2,False,185.37,97.33,1.9,19.66,2.05,100.0
938,130,no,no,0,14.3,2,3.86,1,False,193.43,95.33,2.03,16.25,1.05,50.0
939,56,no,no,0,11.9,8,3.21,2,False,190.37,98.0,1.94,14.75,2.04,25.0
940,117,no,no,0,15.5,4,4.19,0,False,205.0,116.67,1.76,19.48,0.0,0.0
941,63,no,no,0,6.5,5,1.76,2,False,223.67,93.67,2.39,20.29,2.14,40.0
942,126,no,no,0,6.4,2,1.73,0,False,191.8,104.0,1.84,19.93,0.0,0.0
943,132,no,no,0,12.6,2,3.4,1,False,223.6,107.33,2.08,20.82,0.93,50.0
944,81,no,yes,28,9.2,6,2.48,4,True,183.87,118.33,1.55,17.81,3.38,66.67
945,122,no,no,0,11.5,6,3.11,2,False,186.23,95.0,1.96,17.82,2.11,33.33
946,46,no,no,0,13.4,5,3.62,2,True,240.97,88.33,2.73,25.05,2.26,40.0
947,150,no,yes,28,11.0,4,2.97,1,False,181.97,95.0,1.92,17.72,1.05,25.0
948,99,no,no,0,8.4,3,2.27,1,False,190.27,106.0,1.8,17.29,0.94,33.33
949,87,no,no,0,11.0,3,2.97,1,False,211.03,97.33,2.17,22.35,1.03,33.33
950,108,no,no,0,7.9,3,2.13,1,False,171.83,107.0,1.61,15.26,0.93,33.33
951,101,no,no,0,11.6,2,3.13,4,False,194.7,85.0,2.29,18.29,4.71,200.0
952,53,no,no,0,10.7,2,2.89,3,False,171.7,107.67,1.59,18.41,2.79,150.0
953,132,no,yes,39,8.6,3,2.32,2,False,196.13,101.67,1.93,18.64,1.97,66.67
954,158,no,no,0,8.6,8,2.32,2,False,200.37,117.0,1.71,18.5,1.71,25.0
955,114,no,yes,34,10.3,5,2.78,0,False,194.77,118.0,1.65,18.15,0.0,0.0
956,77,no,yes,23,7.1,3,1.92,2,False,199.6,82.33,2.42,20.17,2.43,66.67
957,144,yes,no,0,9.4,15,2.54,0,False,208.83,87.67,2.38,19.46,0.0,0.0
958,91,no,yes,23,12.3,3,3.32,3,False,202.97,104.33,1.95,21.3,2.88,100.0
959,58,no,no,0,12.8,5,3.46,2,False,158.3,101.67,1.56,15.56,1.97,40.0
960,5,no,no,0,13.3,3,3.59,3,False,200.17,67.67,2.96,19.8,4.43,100.0
961,97,no,no,0,4.2,3,1.13,0,False,229.6,80.67,2.85,23.67,0.0,0.0
962,107,no,no,0,7.7,2,2.08,3,False,194.0,98.0,1.98,19.57,3.06,150.0
963,142,no,yes,30,10.8,5,2.92,1,False,196.6,85.0,2.31,17.47,1.18,20.0
964,9,no,yes,31,13.3,2,3.59,1,False,195.87,110.0,1.78,19.59,0.91,50.0
965,73,no,no,0,12.2,4,3.29,0,False,181.97,106.67,1.71,18.81,0.0,0.0
966,48,no,yes,22,15.7,5,4.24,2,True,224.67,101.0,2.22,19.89,1.98,40.0
967,43,no,no,0,9.2,3,2.48,0,False,181.77,122.67,1.48,20.26,0.0,0.0
968,122,no,yes,33,13.5,3,3.65,1,True,195.9,108.0,1.81,19.41,0.93,33.33
969,93,no,no,0,8.8,4,2.38,0,False,194.13,74.67,2.6,20.16,0.0,0.0
970,85,no,no,0,11.5,1,3.11,1,False,206.97,98.33,2.1,19.66,1.02,100.0
971,59,no,no,0,5.0,5,1.35,3,False,228.5,85.67,2.67,20.33,3.5,60.0
972,87,no,no,0,11.8,3,3.19,1,False,181.93,93.0,1.96,19.89,1.08,33.33
973,137,no,no,0,12.3,2,3.32,0,False,151.23,94.33,1.6,15.23,0.0,0.0
974,21,no,yes,31,9.5,7,2.57,6,False,195.33,87.67,2.23,18.07,6.84,85.71
975,129,no,no,0,10.4,6,2.81,0,True,239.13,101.67,2.35,27.25,0.0,0.0
976,104,no,no,0,13.0,6,3.51,0,False,175.47,85.67,2.05,15.08,0.0,0.0
977,93,no,yes,21,11.8,2,3.19,4,True,161.1,107.67,1.5,15.01,3.72,200.0
978,63,no,no,0,13.1,4,3.54,4,True,256.17,111.33,2.3,26.66,3.59,100.0
979,161,no,no,0,7.8,5,2.11,0,False,181.27,106.0,1.71,15.41,0.0,0.0
980,50,no,no,0,11.6,8,3.13,3,False,181.53,107.33,1.69,18.76,2.8,37.5
981,103,no,yes,24,6.9,4,1.86,1,False,206.57,89.33,2.31,17.15,1.12,25.0
982,84,no,yes,33,13.0,18,3.51,1,False,174.1,105.0,1.66,16.46,0.95,5.56
983,92,no,no,0,9.0,4,2.43,1,False,219.43,109.33,2.01,21.72,0.91,25.0
984,77,no,no,0,9.9,1,2.67,1,False,215.03,101.67,2.11,19.69,0.98,100.0
985,64,yes,no,0,13.3,9,3.59,1,True,290.57,78.67,3.69,30.85,1.27,11.11
986,159,no,yes,15,11.8,9,3.19,1,False,151.47,128.33,1.18,13.5,0.78,11.11
987,110,yes,yes,27,8.3,2,2.24,1,True,236.43,94.33,2.51,25.31,1.06,50.0
988,138,no,no,0,17.0,4,4.59,3,False,170.37,120.0,1.42,16.34,2.5,75.0
989,178,no,no,0,13.6,3,3.67,1,False,203.33,112.67,1.8,23.13,0.89,33.33
990,38,no,yes,31,3.9,2,1.05,0,False,248.67,97.33,2.55,22.74,0.0,0.0
991,50,no,yes,35,7.9,2,2.13,2,False,181.33,99.67,1.82,17.99,2.01,100.0
992,45,no,yes,26,7.7,5,2.08,1,False,101.87,108.67,0.94,10.41,0.92,20.0
993,70,no,no,0,9.6,2,2.59,0,False,174.6,100.33,1.74,15.01,0.0,0.0
